Item Code,Product Name,Brand,Category,Wholesale Price,MSRP,Stock Qty,Lead Time (Days),Notes
BTH-WH-BLK,Bluetooth Headphones (Black),SoundMax,Electronics,28.50,79.99,45,7,
BTH-WH-WHT,Bluetooth Headphones (White),SoundMax,Electronics,28.50,79.99,32,7,
BTH-WH-RED,Bluetooth Headphones (Red),SoundMax,Electronics,30.00,79.99,18,7,Red variant has higher production cost
USB-HUB-4P,4-Port USB Hub,TechLink,Electronics,8.25,24.99,120,14,
USB-HUB-7P,7-Port USB Hub,TechLink,Electronics,14.75,39.99,88,14,
WEBCAM-1080,1080p HD Webcam,VisionPro,Electronics,19.99,49.99,55,10,
WEBCAM-4K,4K Ultra HD Webcam,VisionPro,Electronics,52.00,49.99,12,21,NEGATIVE MARGIN — cost exceeds MSRP
CHG-LTNG-6FT,Lightning Cable 6ft,ChargeMate,Electronics,3.10,19.99,500,5,
CHG-USBC-6FT,USB-C Cable 6ft,ChargeMate,Electronics,2.85,19.99,500,5,
CHG-USBC-10FT,USB-C Cable 10ft,ChargeMate,Electronics,3.75,24.99,300,5,
PWRBNK-10K,Power Bank 10000mAh,JuicePack,Electronics,12.40,34.99,67,12,
PWRBNK-20K,Power Bank 20000mAh,JuicePack,Electronics,22.80,59.99,34,12,
,Ergonomic Wireless Mouse,PrecisionTech,Electronics,18.00,44.99,42,8,SKU not assigned yet — will be unmatched
KB-MECH-BLK,Mechanical Keyboard (Black),TypeMaster,Electronics,45.00,149.99,23,18,
KB-MECH-WHT,Mechanical Keyboard (White),TypeMaster,Electronics,47.50,149.99,15,18,White costs more to produce
KB-MECH-RGB,Mechanical Keyboard RGB Backlit,TypeMaster,Electronics,55.00,179.99,8,21,
SPKR-BT-S,Bluetooth Speaker Portable,BoomBox,Electronics,15.75,39.99,78,9,
SPKR-BT-L,Bluetooth Speaker Large,BoomBox,Electronics,35.00,35.00,22,9,ZERO MARGIN — cost equals MSRP
CABLE-HDMI-6,HDMI Cable 6ft,TechLink,Electronics,4.50,14.99,200,7,
CABLE-HDMI-15,HDMI Cable 15ft,TechLink,Electronics,7.25,24.99,150,7,
TEE-BAS-S-BLK,Basic Tee S / Black,ThreadCo,Apparel,4.50,24.99,100,21,
TEE-BAS-M-BLK,Basic Tee M / Black,ThreadCo,Apparel,4.50,24.99,150,21,
TEE-BAS-L-BLK,Basic Tee L / Black,ThreadCo,Apparel,4.75,24.99,130,21,Larger sizes cost more
TEE-BAS-XL-BLK,Basic Tee XL / Black,ThreadCo,Apparel,5.00,24.99,75,21,
